0:0:0:0:0:0:0:1 - - [19/Sep/2017:10:54:01 +0530] "GET /WeChatFrontend/service/chatservice.js HTTP/1.1" 200 667
0:0:0:0:0:0:0:1 - - [19/Sep/2017:10:54:13 +0530] "GET /WeChatFrontend/favicon.ico HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [19/Sep/2017:10:58:23 +0530] "GET /WeChatFrontend/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:10:58:27 +0530] "GET /WeChatBackend/getimage/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:10:58:29 +0530] "GET /WeChatFrontend/views/home.html HTTP/1.1" 200 5923
0:0:0:0:0:0:0:1 - - [19/Sep/2017:10:58:29 +0530] "GET /WeChatFrontend/images/palmtop.png HTTP/1.1" 200 109261
0:0:0:0:0:0:0:1 - - [19/Sep/2017:10:58:29 +0530] "GET /WeChatFrontend/css/footer.css HTTP/1.1" 200 787
0:0:0:0:0:0:0:1 - - [19/Sep/2017:10:58:29 +0530] "GET /WeChatFrontend/images/chat1.jpg HTTP/1.1" 200 140449
0:0:0:0:0:0:0:1 - - [19/Sep/2017:10:58:29 +0530] "GET /WeChatFrontend/images/livechat.png HTTP/1.1" 200 376969
0:0:0:0:0:0:0:1 - - [19/Sep/2017:10:58:37 +0530] "GET /WeChatFrontend/views/login.html HTTP/1.1" 200 2577
0:0:0:0:0:0:0:1 - - [19/Sep/2017:10:58:49 +0530] "POST /WeChatBackend/login HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [19/Sep/2017:10:58:49 +0530] "GET /WeChatBackend/getimage/Safna HTTP/1.1" 200 271658
0:0:0:0:0:0:0:1 - - [19/Sep/2017:10:58:51 +0530] "GET /WeChatFrontend/views/viewprofile.html HTTP/1.1" 200 370
0:0:0:0:0:0:0:1 - - [19/Sep/2017:10:59:36 +0530] "GET /WeChatFrontend/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:10:59:36 +0530] "GET /WeChatBackend/getimage/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:10:59:37 +0530] "GET /WeChatBackend/getimage/Safna HTTP/1.1" 200 271658
0:0:0:0:0:0:0:1 - - [19/Sep/2017:12:56:17 +0530] "GET /WeChatFrontend/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:12:56:17 +0530] "GET /WeChatBackend/getimage/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:12:56:18 +0530] "GET /WeChatBackend/getimage/Safna HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:12:57:55 +0530] "GET /WeChatFrontend/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:12:57:55 +0530] "GET /WeChatBackend/getimage/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:12:57:56 +0530] "GET /WeChatBackend/getimage/Safna HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:12:57:57 +0530] "GET /WeChatFrontend/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2017:12:57:57 +0530] "GET /WeChatBackend/getimage/%7B%7BcurrentUser.username%7D%7D HTTP/1.1" 200 -
